Feature,Importance,Region,Model
POP_Level,0.0014439781033493617,Rest of Central America,Gradient Boosting
Growth_rate,0.00023008180491940978,Rest of Central America,Gradient Boosting
GDPP,0.00022161888313701342,Rest of Central America,Gradient Boosting
Year,1.1954818206943247,Rest of Central America,Permutation
NPP,0.2716816747535674,Rest of Central America,Permutation
Value_Area,0.09527304005192777,Rest of Central America,Permutation
Price,0.0450625068601886,Rest of Central America,Permutation
Quantity,0.04211162135288839,Rest of Central America,Permutation
GDP_Level,0.008085380391756236,Rest of Central America,Permutation
Growth_rate,0.001608492064303657,Rest of Central America,Permutation
GDPP,0.0014610883542245934,Rest of Central America,Permutation
POP_Level,0.0011898852888873935,Rest of Central America,Permutation
NPP,0.5958527467606437,Canada,Random Forest
Year,0.2013428565148741,Canada,Random Forest
Price,0.07682185515372043,Canada,Random Forest
Quantity,0.03609722109785539,Canada,Random Forest
GDPP,0.034787321953658905,Canada,Random Forest
Value_Area,0.032806246106022084,Canada,Random Forest
Growth_rate,0.01066587990337375,Canada,Random Forest
GDP_Level,0.005828334876537375,Canada,Random Forest
POP_Level,0.0057975376333142935,Canada,Random Forest
NPP,0.6625599616353105,Canada,Gradient Boosting
Year,0.2067051697236859,Canada,Gradient Boosting
Price,0.0673540081832463,Canada,Gradient Boosting
Quantity,0.023024633900362274,Canada,Gradient Boosting
GDPP,0.020350557343466472,Canada,Gradient Boosting
Growth_rate,0.0088592043063511,Canada,Gradient Boosting
Value_Area,0.0051593004942968815,Canada,Gradient Boosting
GDP_Level,0.003026532807189412,Canada,Gradient Boosting
POP_Level,0.0029606316060911573,Canada,Gradient Boosting
NPP,0.9037379951117976,Canada,Permutation
Year,0.5490187457514335,Canada,Permutation
Price,0.3020957944996494,Canada,Permutation
GDPP,0.07898825937304568,Canada,Permutation
Quantity,0.0765068188538914,Canada,Permutation
Value_Area,0.04614165975745037,Canada,Permutation
Growth_rate,0.01202447906004891,Canada,Permutation
GDP_Level,0.004871032183672475,Canada,Permutation
POP_Level,0.003601382736117964,Canada,Permutation
Year,0.6285144488239726,Mexico,Random Forest
NPP,0.2853925147042565,Mexico,Random Forest
Quantity,0.022383858356286597,Mexico,Random Forest
GDP_Level,0.022054681044215714,Mexico,Random Forest
Price,0.021093312054119493,Mexico,Random Forest
Value_Area,0.01719269181968903,Mexico,Random Forest
Growth_rate,0.0016340852254892165,Mexico,Random Forest
POP_Level,0.0011160576554633465,Mexico,Random Forest
GDPP,0.0006183503165074543,Mexico,Random Forest
Year,0.6620355735352343,Mexico,Gradient Boosting
NPP,0.25797330033924054,Mexico,Gradient Boosting
GDP_Level,0.033776910121697826,Mexico,Gradient Boosting
Quantity,0.020690364572113193,Mexico,Gradient Boosting
Price,0.015625538164676205,Mexico,Gradient Boosting
Value_Area,0.008677236348040731,Mexico,Gradient Boosting
GDPP,0.0009450409074355179,Mexico,Gradient Boosting
POP_Level,0.00019004012174730624,Mexico,Gradient Boosting
Growth_rate,8.599588981439089e-05,Mexico,Gradient Boosting
Year,1.292336368168196,Mexico,Permutation
NPP,0.4437573630720193,Mexico,Permutation
Quantity,0.07396747476831533,Mexico,Permutation
Price,0.06686386068514383,Mexico,Permutation
Value_Area,0.025887603868934593,Mexico,Permutation
GDP_Level,0.016506911951068858,Mexico,Permutation
Growth_rate,0.0013774756779844743,Mexico,Permutation
POP_Level,0.0006631029960643464,Mexico,Permutation
GDPP,0.000494874965444736,Mexico,Permutation
Year,0.8017066822717487,Pacific Coast,Random Forest
NPP,0.13412496479292388,Pacific Coast,Random Forest
Value_Area,0.0481513258896165,Pacific Coast,Random Forest
Price,0.008288390245252427,Pacific Coast,Random Forest
Quantity,0.006722552871566345,Pacific Coast,Random Forest
Growth_rate,0.00037079342293799556,Pacific Coast,Random Forest
GDPP,0.00023892047579215106,Pacific Coast,Random Forest
POP_Level,0.00020009087589524947,Pacific Coast,Random Forest
GDP_Level,0.00019627915426677315,Pacific Coast,Random Forest
Year,0.7772279486081632,Pacific Coast,Gradient Boosting
Value_Area,0.11087005866837106,Pacific Coast,Gradient Boosting
NPP,0.10441836341810543,Pacific Coast,Gradient Boosting
Price,0.0038521890257906927,Pacific Coast,Gradient Boosting
Quantity,0.0032681154626300695,Pacific Coast,Gradient Boosting
GDPP,0.0002815236390757187,Pacific Coast,Gradient Boosting
GDP_Level,7.862411302580754e-05,Pacific Coast,Gradient Boosting
Growth_rate,1.8867812991347065e-06,Pacific Coast,Gradient Boosting
POP_Level,1.2902835388837482e-06,Pacific Coast,Gradient Boosting
Year,1.3571967936048612,Pacific Coast,Permutation
NPP,0.24567024566110632,Pacific Coast,Permutation
Value_Area,0.05937255162887477,Pacific Coast,Permutation
Price,0.01587723254504807,Pacific Coast,Permutation
Quantity,0.010662071939168193,Pacific Coast,Permutation
Growth_rate,0.00016084368337497822,Pacific Coast,Permutation
GDPP,0.0001223898390601441,Pacific Coast,Permutation
GDP_Level,9.934958144327543e-05,Pacific Coast,Permutation
POP_Level,7.890510172693377e-05,Pacific Coast,Permutation
Value_Area,0.6402586856007896,Rocky Mountain,Random Forest
Year,0.23980233924672945,Rocky Mountain,Random Forest
NPP,0.10682354959359044,Rocky Mountain,Random Forest
Quantity,0.006037821778965667,Rocky Mountain,Random Forest
Price,0.005872476934907221,Rocky Mountain,Random Forest
Growth_rate,0.0004017988179914054,Rocky Mountain,Random Forest
GDP_Level,0.0002914497354720582,Rocky Mountain,Random Forest
GDPP,0.0002674291413651576,Rocky Mountain,Random Forest
POP_Level,0.00024444915018902093,Rocky Mountain,Random Forest
Value_Area,0.4898394576274825,Rocky Mountain,Gradient Boosting
Year,0.40571036467053195,Rocky Mountain,Gradient Boosting
NPP,0.09134933285723422,Rocky Mountain,Gradient Boosting
Quantity,0.004915860872452334,Rocky Mountain,Gradient Boosting
Price,0.004688518473223964,Rocky Mountain,Gradient Boosting
GDPP,0.002603498902684029,Rocky Mountain,Gradient Boosting
GDP_Level,0.0004047091567504717,Rocky Mountain,Gradient Boosting
POP_Level,0.00024917374306019383,Rocky Mountain,Gradient Boosting
Growth_rate,0.00023908369658040118,Rocky Mountain,Gradient Boosting
Value_Area,0.7916440889535774,Rocky Mountain,Permutation
Year,0.33972097752929553,Rocky Mountain,Permutation
NPP,0.20192837972043529,Rocky Mountain,Permutation
Quantity,0.0175617232101817,Rocky Mountain,Permutation
Price,0.01313877375993876,Rocky Mountain,Permutation
Growth_rate,0.00032137616428743463,Rocky Mountain,Permutation
GDP_Level,0.00015100081226813167,Rocky Mountain,Permutation
GDPP,0.00014437039355544857,Rocky Mountain,Permutation
POP_Level,0.0001290508396504797,Rocky Mountain,Permutation
Year,0.7002119762128208,North Central,Random Forest
NPP,0.17673946963744633,North Central,Random Forest
Value_Area,0.10107756470726267,North Central,Random Forest
Price,0.010306118316176489,North Central,Random Forest
Quantity,0.009605649346811082,North Central,Random Forest
GDPP,0.0010410936593780282,North Central,Random Forest
Growth_rate,0.0005688378634032241,North Central,Random Forest
POP_Level,0.0002419347672653159,North Central,Random Forest
GDP_Level,0.00020735548943607565,North Central,Random Forest
Year,0.6462174194598528,North Central,Gradient Boosting
Value_Area,0.20137064867620738,North Central,Gradient Boosting
NPP,0.13657017840272528,North Central,Gradient Boosting
Price,0.007376252499539838,North Central,Gradient Boosting
Quantity,0.005206038963638598,North Central,Gradient Boosting
GDPP,0.003165808168782506,North Central,Gradient Boosting
GDP_Level,5.330028214320922e-05,North Central,Gradient Boosting
POP_Level,3.9344169121809515e-05,North Central,Gradient Boosting
Growth_rate,1.0093779883848731e-06,North Central,Gradient Boosting
Year,0.7825336849500754,North Central,Permutation
NPP,0.3078379436299753,North Central,Permutation
Value_Area,0.26638550679095196,North Central,Permutation
Quantity,0.030592629946709648,North Central,Permutation
Price,0.01957188813072843,North Central,Permutation
GDPP,0.0006993167925841038,North Central,Permutation
Growth_rate,0.00036298640836387455,North Central,Permutation
POP_Level,8.264242259794496e-05,North Central,Permutation
GDP_Level,7.930551896880855e-05,North Central,Permutation
Year,0.7997941219404027,North East,Random Forest
NPP,0.12578662189822204,North East,Random Forest
Value_Area,0.055437627845878246,North East,Random Forest
Price,0.01062323389867804,North East,Random Forest
Quantity,0.006476984534736435,North East,Random Forest
GDPP,0.0011044742193113638,North East,Random Forest
POP_Level,0.0002635751267157992,North East,Random Forest
Growth_rate,0.00026239029149476565,North East,Random Forest
GDP_Level,0.00025097024456061426,North East,Random Forest
Year,0.7431900885891073,North East,Gradient Boosting
Value_Area,0.13969499613712996,North East,Gradient Boosting
NPP,0.10101710415882706,North East,Gradient Boosting
Price,0.0066481254104574375,North East,Gradient Boosting
GDPP,0.0052919989487698925,North East,Gradient Boosting
Quantity,0.0034877832897452265,North East,Gradient Boosting
POP_Level,0.0005050790852990155,North East,Gradient Boosting
Growth_rate,0.00010901757921821335,North East,Gradient Boosting
GDP_Level,5.5806801445806036e-05,North East,Gradient Boosting
Year,1.3045686568089117,North East,Permutation
NPP,0.25507184520812604,North East,Permutation
Value_Area,0.07735588296203286,North East,Permutation
Price,0.02186515022147939,North East,Permutation
Quantity,0.013384664493142817,North East,Permutation
GDPP,0.0005400055558309802,North East,Permutation
Growth_rate,0.0001181761793495384,North East,Permutation
GDP_Level,0.00011811324165401648,North East,Permutation
POP_Level,0.00011544541709038736,North East,Permutation
Value_Area,0.35788238254747595,South Central,Random Forest
NPP,0.2975676962939925,South Central,Random Forest
Year,0.23189518227417427,South Central,Random Forest
Price,0.05963401055520775,South Central,Random Forest
Quantity,0.04393244626844486,South Central,Random Forest
Growth_rate,0.0029191409398723533,South Central,Random Forest
GDPP,0.002658829523972507,South Central,Random Forest
GDP_Level,0.001971150208999916,South Central,Random Forest
POP_Level,0.0015391613878598684,South Central,Random Forest
Value_Area,0.3635274333889629,South Central,Gradient Boosting
Year,0.2916453163215507,South Central,Gradient Boosting
NPP,0.2325394864147603,South Central,Gradient Boosting
Price,0.059668924365491406,South Central,Gradient Boosting
Quantity,0.04622361359885002,South Central,Gradient Boosting
GDPP,0.005544694523228816,South Central,Gradient Boosting
GDP_Level,0.0005520664384842095,South Central,Gradient Boosting
Growth_rate,0.000294989394163205,South Central,Gradient Boosting
POP_Level,3.4755545084473295e-06,South Central,Gradient Boosting
Value_Area,0.578995558830801,South Central,Permutation
NPP,0.49487746113503717,South Central,Permutation
Year,0.4078636484087278,South Central,Permutation
Price,0.1606119609507822,South Central,Permutation
Quantity,0.1343233065151328,South Central,Permutation
GDPP,0.002253658476438147,South Central,Permutation
Growth_rate,0.0021391996330900167,South Central,Permutation
GDP_Level,0.001240843166731842,South Central,Permutation
POP_Level,0.0008325422720360742,South Central,Permutation
Year,0.4602359991959784,South East,Random Forest
NPP,0.32081167412206113,South East,Random Forest
Value_Area,0.1526962294787843,South East,Random Forest
Price,0.03543713222036637,South East,Random Forest
Quantity,0.024629814088197692,South East,Random Forest
GDPP,0.0023669696739641553,South East,Random Forest
Growth_rate,0.001730693012619733,South East,Random Forest
POP_Level,0.0010494708764429263,South East,Random Forest
GDP_Level,0.0010420173315853073,South East,Random Forest
Year,0.5127932206471184,South East,Gradient Boosting
NPP,0.2600154541158589,South East,Gradient Boosting
Value_Area,0.16749598875575983,South East,Gradient Boosting
Price,0.031215905605692516,South East,Gradient Boosting
Quantity,0.024821227047598614,South East,Gradient Boosting
GDPP,0.0029687216698697713,South East,Gradient Boosting
GDP_Level,0.0003946000727244814,South East,Gradient Boosting
POP_Level,0.00029417049691164975,South East,Gradient Boosting
Growth_rate,7.115884657859863e-07,South East,Gradient Boosting
Year,0.9076967536498867,South East,Permutation
NPP,0.5117647297619528,South East,Permutation
Value_Area,0.11953652712760912,South East,Permutation
Price,0.09719741506568683,South East,Permutation
Quantity,0.05927874568227605,South East,Permutation
GDPP,0.001748486994635401,South East,Permutation
Growth_rate,0.0008325434445697,South East,Permutation
GDP_Level,0.0006647047637455495,South East,Permutation
POP_Level,0.0006111952937632225,South East,Permutation
POP_Level,0.38185409487711114,Argentina,Random Forest
NPP,0.2386815114371702,Argentina,Random Forest
Value_Area,0.09078240633469269,Argentina,Random Forest
Price,0.08305461358529836,Argentina,Random Forest
Quantity,0.07580878352525224,Argentina,Random Forest
Growth_rate,0.0724344620563276,Argentina,Random Forest
GDPP,0.028433333889053784,Argentina,Random Forest
GDP_Level,0.02162842463889933,Argentina,Random Forest
Year,0.007322369656194577,Argentina,Random Forest
POP_Level,0.39628781171117483,Argentina,Gradient Boosting
NPP,0.26869950619826805,Argentina,Gradient Boosting
Growth_rate,0.0911220702175656,Argentina,Gradient Boosting
Value_Area,0.08134183832979515,Argentina,Gradient Boosting
GDP_Level,0.04630844234714761,Argentina,Gradient Boosting
Quantity,0.04392669365877566,Argentina,Gradient Boosting
Price,0.0359429203750367,Argentina,Gradient Boosting
GDPP,0.02940020367626642,Argentina,Gradient Boosting
Year,0.006970513485970006,Argentina,Gradient Boosting
POP_Level,0.5811093846107825,Argentina,Permutation
NPP,0.4607716985581227,Argentina,Permutation
Price,0.32668452221598876,Argentina,Permutation
Quantity,0.3077476945817451,Argentina,Permutation
Value_Area,0.20294649994345032,Argentina,Permutation
Growth_rate,0.10634861252608804,Argentina,Permutation
GDPP,0.03620325743024647,Argentina,Permutation
GDP_Level,0.01913827788673056,Argentina,Permutation
Year,0.007752004496538045,Argentina,Permutation
Year,0.6315813981571566,Austria,Random Forest
NPP,0.18613168446824907,Austria,Random Forest
Value_Area,0.15473445837099792,Austria,Random Forest
Price,0.01419130615362309,Austria,Random Forest
Quantity,0.010746476678074875,Austria,Random Forest
POP_Level,0.0009602741179326855,Austria,Random Forest
GDPP,0.0006886066321151002,Austria,Random Forest
Growth_rate,0.000515282785513732,Austria,Random Forest
GDP_Level,0.00045051263633690187,Austria,Random Forest
Year,0.5511893424380198,Austria,Gradient Boosting
Value_Area,0.25683921999207476,Austria,Gradient Boosting
NPP,0.1565318655187745,Austria,Gradient Boosting
Price,0.017884042574725142,Austria,Gradient Boosting
Quantity,0.014877680954718248,Austria,Gradient Boosting
POP_Level,0.000870710904571293,Austria,Gradient Boosting
GDPP,0.0008532540632012611,Austria,Gradient Boosting
GDP_Level,0.0007120443802195201,Austria,Gradient Boosting
Growth_rate,0.00024183917369543703,Austria,Gradient Boosting
Year,0.8779346482917555,Austria,Permutation
NPP,0.2401710470814385,Austria,Permutation
Value_Area,0.2211681937686248,Austria,Permutation
Price,0.041605867116097026,Austria,Permutation
Quantity,0.024390789574170946,Austria,Permutation
POP_Level,0.0009391349584297548,Austria,Permutation
GDPP,0.0003733272246827735,Austria,Permutation
Growth_rate,0.00024290642107233085,Austria,Permutation
GDP_Level,0.00022098457642332202,Austria,Permutation
Value_Area,0.6066150956513799,Belarus,Random Forest
NPP,0.16078440612806053,Belarus,Random Forest
Quantity,0.12748213270957423,Belarus,Random Forest
Year,0.04712984560690446,Belarus,Random Forest
Price,0.042138688567159646,Belarus,Random Forest
POP_Level,0.004243629762833447,Belarus,Random Forest
GDPP,0.004013358792273621,Belarus,Random Forest
GDP_Level,0.00381462374853341,Belarus,Random Forest
Growth_rate,0.0037782190332807893,Belarus,Random Forest
Value_Area,0.598745394367471,Belarus,Gradient Boosting
Quantity,0.19224320521615773,Belarus,Gradient Boosting
NPP,0.12797958330635117,Belarus,Gradient Boosting
Price,0.03840145958131734,Belarus,Gradient Boosting
Year,0.022636306943349532,Belarus,Gradient Boosting
GDP_Level,0.008063894322453516,Belarus,Gradient Boosting
GDPP,0.007439565753725483,Belarus,Gradient Boosting
POP_Level,0.0038046135044168977,Belarus,Gradient Boosting
Growth_rate,0.0006859770047574652,Belarus,Gradient Boosting
Value_Area,0.9591288819474961,Belarus,Permutation
Quantity,0.7941799203923254,Belarus,Permutation
Price,0.14292466107117247,Belarus,Permutation
NPP,0.10056164211692047,Belarus,Permutation
Year,0.09830276405044751,Belarus,Permutation
GDPP,0.004882873776007868,Belarus,Permutation
POP_Level,0.004576743924408611,Belarus,Permutation
Growth_rate,0.004038702223697144,Belarus,Permutation
GDP_Level,0.003672554580389298,Belarus,Permutation
NPP,0.5244612106697357,Belgium,Random Forest
Value_Area,0.19138294543782491,Belgium,Random Forest
Year,0.127571900395331,Belgium,Random Forest
Price,0.0849849593436642,Belgium,Random Forest
Quantity,0.061007951890130495,Belgium,Random Forest
GDPP,0.003949744513763319,Belgium,Random Forest
Growth_rate,0.003074200199121243,Belgium,Random Forest
POP_Level,0.0020037887273719472,Belgium,Random Forest
GDP_Level,0.0015632988230570197,Belgium,Random Forest
NPP,0.4855759142308098,Belgium,Gradient Boosting
Value_Area,0.18230335586437982,Belgium,Gradient Boosting
Year,0.1395365789616617,Belgium,Gradient Boosting
Price,0.11015707276015474,Belgium,Gradient Boosting
Quantity,0.07522977136029746,Belgium,Gradient Boosting
GDPP,0.004697750156672354,Belgium,Gradient Boosting
GDP_Level,0.0014967060347206866,Belgium,Gradient Boosting
Growth_rate,0.0009217084596183047,Belgium,Gradient Boosting
POP_Level,8.114217168499103e-05,Belgium,Gradient Boosting
Value_Area,0.6043959808790158,Belgium,Permutation
Price,0.47777603409132896,Belgium,Permutation
NPP,0.4397036505651496,Belgium,Permutation
Quantity,0.21121467106780384,Belgium,Permutation
Year,0.20816069278022598,Belgium,Permutation
GDPP,0.0021784848634118113,Belgium,Permutation
Growth_rate,0.0015394416001919264,Belgium,Permutation
POP_Level,0.0009682845905989668,Belgium,Permutation
GDP_Level,0.0007016698810413446,Belgium,Permutation
NPP,0.48175677397810085,Estonia,Random Forest
Price,0.12666287237750748,Estonia,Random Forest
Value_Area,0.1256088516530886,Estonia,Random Forest
Quantity,0.07805449257492025,Estonia,Random Forest
Year,0.0756607332326679,Estonia,Random Forest
Growth_rate,0.05779595261004991,Estonia,Random Forest
POP_Level,0.03630230059397947,Estonia,Random Forest
GDPP,0.012145754904878483,Estonia,Random Forest
GDP_Level,0.006012268074807134,Estonia,Random Forest
NPP,0.5328533073053825,Estonia,Gradient Boosting
Price,0.12447272754768315,Estonia,Gradient Boosting
Year,0.12254317989441833,Estonia,Gradient Boosting
Value_Area,0.07312268985103282,Estonia,Gradient Boosting
Quantity,0.06583404763843966,Estonia,Gradient Boosting
Growth_rate,0.03949590753472041,Estonia,Gradient Boosting
POP_Level,0.03499527412990872,Estonia,Gradient Boosting
GDPP,0.006059083700754477,Estonia,Gradient Boosting
GDP_Level,0.0006237823976599305,Estonia,Gradient Boosting
NPP,0.6962086621062014,Estonia,Permutation
Price,0.6145355195893685,Estonia,Permutation
Quantity,0.34555304433448103,Estonia,Permutation
Value_Area,0.27039688552009505,Estonia,Permutation
POP_Level,0.10318339515611945,Estonia,Permutation
Year,0.0891546745871866,Estonia,Permutation
Growth_rate,0.036171657712179284,Estonia,Permutation
GDPP,0.012246236490459162,Estonia,Permutation
GDP_Level,0.005168179561380148,Estonia,Permutation
Value_Area,0.5166962146833457,Latvia,Random Forest
NPP,0.33225538471173643,Latvia,Random Forest
Price,0.07472070244770328,Latvia,Random Forest
Quantity,0.051468831322111455,Latvia,Random Forest
Year,0.008588381969165186,Latvia,Random Forest
POP_Level,0.007252927526974794,Latvia,Random Forest
Growth_rate,0.00545339112117285,Latvia,Random Forest
GDPP,0.0020062392930343697,Latvia,Random Forest
GDP_Level,0.0015579269247559993,Latvia,Random Forest
Value_Area,0.5356337966892413,Latvia,Gradient Boosting
NPP,0.2977588262902634,Latvia,Gradient Boosting
Price,0.09155085941991206,Latvia,Gradient Boosting
Quantity,0.06674571541813829,Latvia,Gradient Boosting
Growth_rate,0.0038729724597321713,Latvia,Gradient Boosting
Year,0.0034042172110086396,Latvia,Gradient Boosting
POP_Level,0.0009598661721966402,Latvia,Gradient Boosting
GDPP,7.358976812358986e-05,Latvia,Gradient Boosting
GDP_Level,1.5657138395069953e-07,Latvia,Gradient Boosting
Value_Area,1.2183082884283538,Latvia,Permutation
NPP,0.3764299028823269,Latvia,Permutation
Price,0.3243837636468597,Latvia,Permutation
Quantity,0.15793081471244502,Latvia,Permutation
Year,0.019492590694278045,Latvia,Permutation
POP_Level,0.009343551079374535,Latvia,Permutation
Growth_rate,0.006390703149178023,Latvia,Permutation
GDPP,0.0012798574250346474,Latvia,Permutation
GDP_Level,0.0006154280117367961,Latvia,Permutation
Year,0.8487575631404243,Malaysia,Random Forest
NPP,0.09129116953223328,Malaysia,Random Forest
Value_Area,0.03156243372776845,Malaysia,Random Forest
GDP_Level,0.022618428608644745,Malaysia,Random Forest
Price,0.001847249862603032,Malaysia,Random Forest
GDPP,0.0017918806482606394,Malaysia,Random Forest
Quantity,0.001446663645788326,Malaysia,Random Forest
POP_Level,0.0005805375290477055,Malaysia,Random Forest
Growth_rate,0.00010407330522968204,Malaysia,Random Forest
Year,0.8640412428815585,Malaysia,Gradient Boosting
NPP,0.08500262919562439,Malaysia,Gradient Boosting
GDP_Level,0.021527309247428225,Malaysia,Gradient Boosting
Value_Area,0.02151224107670848,Malaysia,Gradient Boosting
GDPP,0.0033773662629877116,Malaysia,Gradient Boosting
Quantity,0.0025215511833938165,Malaysia,Gradient Boosting
POP_Level,0.0009640924930876157,Malaysia,Gradient Boosting
Price,0.0007893772514370503,Malaysia,Gradient Boosting
Growth_rate,0.00026419040777411713,Malaysia,Gradient Boosting
Year,1.2984274198778203,Malaysia,Permutation
NPP,0.15189519917382918,Malaysia,Permutation
Value_Area,0.017658157736696677,Malaysia,Permutation
GDP_Level,0.010689292255785732,Malaysia,Permutation
Price,0.0038630758513271803,Malaysia,Permutation
Quantity,0.0018750293986881772,Malaysia,Permutation
GDPP,0.0013400384133599563,Malaysia,Permutation
POP_Level,0.0004602830825251369,Malaysia,Permutation
Growth_rate,5.658237032509783e-05,Malaysia,Permutation
NPP,0.32676424312413155,Myanmar,Random Forest
GDP_Level,0.19019584002411744,Myanmar,Random Forest
Quantity,0.14029473113658564,Myanmar,Random Forest
Value_Area,0.13606909532943076,Myanmar,Random Forest
Growth_rate,0.11043750995330716,Myanmar,Random Forest
Price,0.046297780738717216,Myanmar,Random Forest
GDPP,0.028638750535581382,Myanmar,Random Forest
POP_Level,0.016597490474513973,Myanmar,Random Forest
Year,0.004704558683614959,Myanmar,Random Forest
NPP,0.3681469241991484,Myanmar,Gradient Boosting
Quantity,0.19435779078403725,Myanmar,Gradient Boosting
Growth_rate,0.14729274428911676,Myanmar,Gradient Boosting
Value_Area,0.09974914077358522,Myanmar,Gradient Boosting
GDP_Level,0.08724622156487626,Myanmar,Gradient Boosting
GDPP,0.07209943224568933,Myanmar,Gradient Boosting
Price,0.020130688103118417,Myanmar,Gradient Boosting
POP_Level,0.005777066839092676,Myanmar,Gradient Boosting
Year,0.005199991201335775,Myanmar,Gradient Boosting
NPP,0.5178849963337228,Myanmar,Permutation
Value_Area,0.4396505254367953,Myanmar,Permutation
Quantity,0.3795489477910002,Myanmar,Permutation
GDP_Level,0.16321830341249188,Myanmar,Permutation
Price,0.1593619268956574,Myanmar,Permutation
Growth_rate,0.11811286818721775,Myanmar,Permutation
POP_Level,0.025728703325414028,Myanmar,Permutation
GDPP,0.010927328271564552,Myanmar,Permutation
Year,0.00346648679590954,Myanmar,Permutation
Year,0.7863976618807988,Nigeria,Random Forest
NPP,0.18541528520718298,Nigeria,Random Forest
Value_Area,0.01622041738248701,Nigeria,Random Forest
Quantity,0.004128984158851749,Nigeria,Random Forest
Price,0.00404042270990375,Nigeria,Random Forest
POP_Level,0.0018387389069326797,Nigeria,Random Forest
GDP_Level,0.0009262566972479917,Nigeria,Random Forest
GDPP,0.0005633752421523186,Nigeria,Random Forest
Growth_rate,0.00046885781444269177,Nigeria,Random Forest
Year,0.8101250183891712,Nigeria,Gradient Boosting
NPP,0.16757537567055739,Nigeria,Gradient Boosting
Value_Area,0.01520455808688255,Nigeria,Gradient Boosting
Price,0.002344853841924673,Nigeria,Gradient Boosting
Quantity,0.0020406376557365845,Nigeria,Gradient Boosting
POP_Level,0.0014367302722998548,Nigeria,Gradient Boosting
GDP_Level,0.0008227050737420586,Nigeria,Gradient Boosting
Growth_rate,0.00024966609027038443,Nigeria,Gradient Boosting
GDPP,0.00020045491941528162,Nigeria,Gradient Boosting
Year,1.5333520551985913,Nigeria,Permutation
NPP,0.3163409972446907,Nigeria,Permutation
Value_Area,0.036893961124287646,Nigeria,Permutation
Quantity,0.005018909691263285,Nigeria,Permutation
Price,0.003762031261444465,Nigeria,Permutation
POP_Level,0.0016523713016212804,Nigeria,Permutation
GDP_Level,0.0007028563142620237,Nigeria,Permutation
Growth_rate,0.00036114168148027037,Nigeria,Permutation
GDPP,0.0002634329361831722,Nigeria,Permutation
Year,0.6887921672673067,Norway,Random Forest
NPP,0.1705992007092708,Norway,Random Forest
Value_Area,0.09972066334887214,Norway,Random Forest
Price,0.02601354722600255,Norway,Random Forest
Quantity,0.01124283633118821,Norway,Random Forest
Growth_rate,0.001238667070777177,Norway,Random Forest
GDPP,0.001221733814270915,Norway,Random Forest
POP_Level,0.0006458865410688928,Norway,Random Forest
GDP_Level,0.0005252976912426366,Norway,Random Forest
Year,0.7394208964355402,Norway,Gradient Boosting
NPP,0.13652982690994012,Norway,Gradient Boosting
Value_Area,0.08924498876557588,Norway,Gradient Boosting
Price,0.02047973382087173,Norway,Gradient Boosting
Quantity,0.0127671064981958,Norway,Gradient Boosting
GDPP,0.0008291296978233644,Norway,Gradient Boosting
Growth_rate,0.0006153348286364864,Norway,Gradient Boosting
POP_Level,0.00011298304341643142,Norway,Gradient Boosting
GDP_Level,0.0,Norway,Gradient Boosting
Year,1.1627355283161795,Norway,Permutation
NPP,0.20748258039265757,Norway,Permutation
Value_Area,0.1914175103519231,Norway,Permutation
Price,0.10161012504703511,Norway,Permutation
Quantity,0.018857242135632047,Norway,Permutation
Growth_rate,0.0005510329589017759,Norway,Permutation
GDPP,0.0004984350514069758,Norway,Permutation
POP_Level,0.0002613727987487935,Norway,Permutation
GDP_Level,0.00023487314808253723,Norway,Permutation
Year,0.40060330289911006,Portugal,Random Forest
Quantity,0.24866776790671394,Portugal,Random Forest
NPP,0.17614818284533731,Portugal,Random Forest
Price,0.11993873265411972,Portugal,Random Forest
Value_Area,0.03710715416095699,Portugal,Random Forest
POP_Level,0.006696145221172899,Portugal,Random Forest
Growth_rate,0.005168309642202463,Portugal,Random Forest
GDPP,0.003275212099757037,Portugal,Random Forest
GDP_Level,0.0023951925706295453,Portugal,Random Forest
Quantity,0.4026708198148296,Portugal,Gradient Boosting
Year,0.27547696604116206,Portugal,Gradient Boosting
Price,0.1507903807960178,Portugal,Gradient Boosting
NPP,0.10380562981014609,Portugal,Gradient Boosting
Value_Area,0.03109408622967085,Portugal,Gradient Boosting
POP_Level,0.026571155269645246,Portugal,Gradient Boosting
Growth_rate,0.004300260794739583,Portugal,Gradient Boosting
GDP_Level,0.003075347250195973,Portugal,Gradient Boosting
GDPP,0.0022153539935927573,Portugal,Gradient Boosting
Quantity,0.9414278253094557,Portugal,Permutation
Price,0.45179364143280926,Portugal,Permutation
Year,0.44970336966858665,Portugal,Permutation
NPP,0.13717809850370907,Portugal,Permutation
Value_Area,0.05537556769784817,Portugal,Permutation
POP_Level,0.007774835593460583,Portugal,Permutation
Growth_rate,0.0031324434974936864,Portugal,Permutation
GDPP,0.0020916972782322185,Portugal,Permutation
GDP_Level,0.0017733057609971125,Portugal,Permutation
Value_Area,0.7574517570302279,Romania,Random Forest
Year,0.11764389817866545,Romania,Random Forest
NPP,0.0487336307893674,Romania,Random Forest
Price,0.03687267621786687,Romania,Random Forest
Quantity,0.020946462710616308,Romania,Random Forest
POP_Level,0.006958014472836124,Romania,Random Forest
GDPP,0.005289912326585022,Romania,Random Forest
GDP_Level,0.0045700355683771865,Romania,Random Forest
Growth_rate,0.0015336127054575886,Romania,Random Forest
