Feature,Importance,Region,Model
GDP_Level,0.14680171723197524,Brazil,Permutation
Price,0.12120654102160397,Brazil,Permutation
Quantity,0.05346059886315267,Brazil,Permutation
Value_Area,0.044117316660305994,Brazil,Permutation
POP_Level,0.009056980596671382,Brazil,Permutation
Growth_rate,0.005547619477272015,Brazil,Permutation
Year,0.6028028989187466,Chile,Random Forest
Value_Area,0.28526424756446633,Chile,Random Forest
NPP,0.062423060158417,Chile,Random Forest
Quantity,0.017526137547079258,Chile,Random Forest
Growth_rate,0.012262886912473752,Chile,Random Forest
Price,0.007458510440154101,Chile,Random Forest
GDPP,0.004408754959988401,Chile,Random Forest
GDP_Level,0.0043754575321740576,Chile,Random Forest
POP_Level,0.0034780459665006334,Chile,Random Forest
Year,0.48415533557606993,Chile,Gradient Boosting
Value_Area,0.42694078091452325,Chile,Gradient Boosting
NPP,0.06860454610975815,Chile,Gradient Boosting
Quantity,0.005588908626537002,Chile,Gradient Boosting
Price,0.004906110387697762,Chile,Gradient Boosting
POP_Level,0.004855686240373895,Chile,Gradient Boosting
GDP_Level,0.0033719662845836836,Chile,Gradient Boosting
GDPP,0.0013972110068916175,Chile,Gradient Boosting
Growth_rate,0.00017945485356471287,Chile,Gradient Boosting
Value_Area,0.5758203173886278,Chile,Permutation
Year,0.37672992370219316,Chile,Permutation
NPP,0.0846202043202734,Chile,Permutation
Quantity,0.04250976057366013,Chile,Permutation
Price,0.01888545590693701,Chile,Permutation
Growth_rate,0.014184331267565142,Chile,Permutation
GDPP,0.0021529066760589744,Chile,Permutation
GDP_Level,0.002004310772209672,Chile,Permutation
POP_Level,0.001111022304015674,Chile,Permutation
Value_Area,0.5529963920630044,Rest of South America,Random Forest
POP_Level,0.16048456385961063,Rest of South America,Random Forest
NPP,0.10765106074212868,Rest of South America,Random Forest
Growth_rate,0.05956188954193209,Rest of South America,Random Forest
GDPP,0.030332659645973207,Rest of South America,Random Forest
Quantity,0.02990062318433394,Rest of South America,Random Forest
GDP_Level,0.026847639376625522,Rest of South America,Random Forest
Price,0.019741174682188188,Rest of South America,Random Forest
Year,0.012483996904203445,Rest of South America,Random Forest
Value_Area,0.43252973950640855,Rest of South America,Gradient Boosting
POP_Level,0.29833348104782564,Rest of South America,Gradient Boosting
NPP,0.1099553492141279,Rest of South America,Gradient Boosting
Growth_rate,0.07295809143208282,Rest of South America,Gradient Boosting
GDPP,0.04930300230183679,Rest of South America,Gradient Boosting
GDP_Level,0.02165541770932607,Rest of South America,Gradient Boosting
Year,0.005798690474446521,Rest of South America,Gradient Boosting
Price,0.004913650591843914,Rest of South America,Gradient Boosting
Quantity,0.004552577722101722,Rest of South America,Gradient Boosting
Value_Area,0.7482914999344168,Rest of South America,Permutation
NPP,0.15558380059364385,Rest of South America,Permutation
POP_Level,0.1311422636951513,Rest of South America,Permutation
Quantity,0.08621042993442658,Rest of South America,Permutation
Growth_rate,0.04996423141778278,Rest of South America,Permutation
Price,0.047005311022331284,Rest of South America,Permutation
GDPP,0.02551380646589505,Rest of South America,Permutation
GDP_Level,0.012532175054297056,Rest of South America,Permutation
Year,0.006496671560494294,Rest of South America,Permutation
Year,0.9052263152986922,China,Random Forest
NPP,0.0617676018520947,China,Random Forest
Price,0.015010616238979825,China,Random Forest
Quantity,0.0068776236664630066,China,Random Forest
Value_Area,0.004231786454236201,China,Random Forest
GDPP,0.003666822550033219,China,Random Forest
GDP_Level,0.002379060442365223,China,Random Forest
POP_Level,0.00044267532210876686,China,Random Forest
Growth_rate,0.00039749817502679436,China,Random Forest
Year,0.9182835476259689,China,Gradient Boosting
NPP,0.052748364127655774,China,Gradient Boosting
Price,0.012334954662156762,China,Gradient Boosting
Value_Area,0.009034978676078559,China,Gradient Boosting
Quantity,0.004641590018398342,China,Gradient Boosting
Growth_rate,0.0020059740635837795,China,Gradient Boosting
GDP_Level,0.000397813214507059,China,Gradient Boosting
GDPP,0.00030274821925824034,China,Gradient Boosting
POP_Level,0.0002500293923926228,China,Gradient Boosting
Year,1.4100563758697007,China,Permutation
NPP,0.08873313550148473,China,Permutation
Price,0.0413532073950212,China,Permutation
Quantity,0.023714611176097966,China,Permutation
Value_Area,0.002936960517389675,China,Permutation
GDPP,0.0012416528173056162,China,Permutation
